ID,所属游戏,标题,别名,编码,所属期数,第一張卡url,最後一張卡url,備註,如何找尋卡片 url ?,
,1,附贈卡-21CC,21CC,21CC,-1,,,,,
,1,附贈卡-22YJ,22YJ,22YJ,-1,,,,,
,1,附贈卡-23HP,23HP,23HP,-1,,,,,
,1,附贈卡-AT08,AT08,AT08,-1,,,,,
,1,附贈卡-DPEX,DPEX,DPEX,-1,,,,,
,1,附贈卡-EP12,EP12,EP12,-1,,,,,
,1,附贈卡-JF07,JF07,JF07,-1,,,,,
,1,附贈卡-JF08,JF08,JF08,-1,,,,,
,1,附贈卡-JF09,JF09,JF09,-1,,,,,
,1,附贈卡-JF10,JF10,JF10,-1,,,,,
,1,附贈卡-JF11,JF11,JF11,-1,,,,,
,1,附贈卡-JF12,JF12,JF12,-1,,,,,
,1,附贈卡-JF13,JF13,JF13,-1,,,,,
,1,附贈卡-MSC1,MSC1,MSC1,-1,,,,,
,1,附贈卡-PR01,PR01,PR01,-1,,,,,
,1,附贈卡-PR02,PR02,PR02,-1,,,,,
,1,附贈卡-PR03,PR03,PR03,-1,,,,,
,1,附贈卡-PR04,PR04,PR04,-1,,,,,
,1,附贈卡-PRTX,PRTX,PRTX,-1,,,,,
,1,附贈卡-PSDC,PSDC,PSDC,-1,,,,,
,1,附贈卡-SBPR,SBPR,SBPR,-1,,,,,
,1,附贈卡-SCB1,SCB1,SCB1,-1,,,,,
,1,附贈卡-SHSP,SHSP,SHSP,-1,,,,,
,1,附贈卡-ST12,ST12,ST12,-1,,,,,
,1,附贈卡-TKN2,TKN2,TKN2,-1,,,,,
,1,附贈卡-TKN4,TKN4,TKN4,-1,,,,,
,1,附贈卡-TKN,TKN,TKN,-1,,,,,
,1,附贈卡-VF13,VF13,VF13,-1,,,,,
,1,附贈卡-VF16,VF16,VF16,-1,,,,,
,1,附贈卡-VF17,VF17,VF17,-1,,,,,
,1,附贈卡-VF19,VF19,VF19,-1,,,,,
,1,附贈卡-VJCF,VJCF,VJCF,-1,,,,,
,1,附贈卡-YCPC,YCPC,YCPC,-1,,,,,
,1,附贈卡-YGOPR,YGOPR,YGOPR,-1,,,,,
,1,附贈卡-SEDS,SEDS,SEDS,-1,,,,,
,1,活動參賽卡-17PR,17PR,17PR,-1,,,,,
,1,活動參賽卡-17SP,17SP,17SP,-1,,,,,
,1,活動參賽卡-CARD,CARD,CARD,-1,,,,,
,1,活動參賽卡-DF16,DF16,DF16,-1,,,,,
,1,限定特典卡-MVPI,MVPI,MVPI,-1,,,,,
,1,限定特典卡-MVPL,MVPL,MVPL,-1,,,,,
,1,限定特典卡-MVPY,MVPY,MVPY,-1,,,,,
,1,SJMP雜誌-SJMP,SJMP,SJMP,-1,,,,,
,1,VJ雜誌-AGMM,AGMM,AGMM,-1,,,,,
,1,VJ雜誌-PRIO,PRIO,PRIO,-1,,,,,
,1,VJ雜誌-VF12,VF12,VF12,-1,,,,,
,1,VJ雜誌-VF18,VF18,VF18,-1,,,,,
,1,VJ雜誌-VJ,VJ,VJ,-1,,,,,
,1,VJ雜誌-VJC,VJC,VJC,-1,,,,,
,1,VJ雜誌-VJMP,VJMP,VJMP,-1,,,,,
,1,WJ週刊-JHS,JHS,JHS,-1,,,,,
,1,WJ週刊-JMP,JMP,JMP,-1,,,,,
